epoch,train_loss,train_acc,val_loss,val_acc
0,6.244425468444824,0.0,6.2004894943237305,0.002
1,6.221622165679932,0.004,6.150494636535645,0.008
2,6.143759517669678,0.006,6.1027031478881835,0.02
3,6.088090942382813,0.006,6.054167472839356,0.03
4,6.052690643310547,0.016,6.001482788085937,0.052000000000000005
5,5.986872688293457,0.04,5.959057544708252,0.068
6,5.937233768463135,0.062,5.907190265655518,0.098
7,5.902493354797364,0.062,5.85703271484375,0.136
8,5.859391059875488,0.088,5.817373020172119,0.176
9,5.806522235870362,0.126,5.770112319946289,0.20600000000000002
10,5.766943962097168,0.158,5.730381561279297,0.256
11,5.70888697052002,0.192,5.688987785339355,0.296
12,5.664999179840088,0.248,5.647747051239014,0.34600000000000003
13,5.6134621658325194,0.278,5.596476985931396,0.384
14,5.5604720840454105,0.372,5.552984447479248,0.434
15,5.5198241882324215,0.38,5.508241722106933,0.484
16,5.495789176940918,0.392,5.461495941162109,0.508
17,5.440189659118652,0.438,5.423617149353027,0.548
18,5.399375175476075,0.468,5.38843242263794,0.554
19,5.337413505554199,0.536,5.325864479064942,0.604
20,5.299355136871338,0.528,5.301385223388672,0.604
21,5.272089191436768,0.54,5.248376819610596,0.614
22,5.236000617980957,0.558,5.185723575592041,0.65
23,5.187028144836426,0.6,5.187312339782715,0.658
24,5.120496067047119,0.618,5.132086132049561,0.682
25,5.0802530136108395,0.64,5.072470752716065,0.6920000000000001
26,5.044093845367431,0.67,5.033398078918457,0.718
27,4.994505561828613,0.708,4.997526271820068,0.724
28,4.955519340515137,0.71,4.959946163177491,0.736
29,4.914934837341309,0.72,4.9129460945129395,0.732
30,4.865591049194336,0.72,4.863055225372315,0.742
31,4.83191626739502,0.75,4.815654075622558,0.758
32,4.778572925567627,0.74,4.777339485168457,0.77
33,4.728535095214844,0.756,4.719010204315185,0.784
34,4.693369163513184,0.782,4.694786083221436,0.778
35,4.635034664154053,0.772,4.659343975067139,0.79
36,4.5992542686462405,0.748,4.62033757019043,0.788
37,4.550495918273926,0.796,4.538580551147461,0.806
38,4.510442573547364,0.778,4.517333736419678,0.81
39,4.470767002105713,0.798,4.48521257019043,0.802
40,4.434731643676757,0.8,4.445894550323486,0.81
41,4.394438713073731,0.794,4.4137866401672365,0.8180000000000001
42,4.336109157562256,0.846,4.320238929748535,0.8320000000000001
43,4.321979518890381,0.796,4.287065696716309,0.8260000000000001
44,4.283570343017578,0.802,4.263343017578125,0.8240000000000001
45,4.213059917449951,0.84,4.244802097320557,0.8240000000000001
46,4.1684996604919435,0.796,4.18891206741333,0.834
47,4.128728294372559,0.808,4.124853965759278,0.838
48,4.0797299118042,0.8280000000000001,4.114078708648682,0.8220000000000001
49,4.033743848800659,0.8240000000000001,4.0117194480895995,0.844
